Nodes,ID,Label
芝麻,246,芝麻
芥菜,247,芥菜
芥藍菜,248,芥藍菜
花枝,249,花枝
花椒,250,花椒
花椰菜,251,花椰菜
花瓜,252,花瓜
花生,253,花生
花生油,254,花生油
花生粉,255,花生粉
花菇,256,花菇
花豆,257,花豆
花飛鹹魚,258,花飛鹹魚
芹菜,259,芹菜
苦瓜,260,苦瓜
茄子,261,茄子
茭白筍,262,茭白筍
茴香,263,茴香
茶,264,茶
茼蒿,265,茼蒿
草果,266,草果
草菇,267,草菇
草蝦,268,草蝦
草魚,269,草魚
荔枝,270,荔枝
荸薺,271,荸薺
莧菜,272,莧菜
菜心,273,菜心
菜脯,274,菜脯
菠菜,275,菠菜
菩提滷汁,276,菩提滷汁
葡萄,277,葡萄
蒜,278,蒜
蒜仁,279,蒜仁
蒜味滷汁,280,蒜味滷汁
蒜苗,281,蒜苗
蒟蒻,282,蒟蒻
蓮子,283,蓮子
蓮藕,284,蓮藕
蔓越莓,285,蔓越莓
蔘鬚,286,蔘鬚
蔥,287,蔥
蔬菜,288,蔬菜
蔬菜高湯,289,蔬菜高湯
蕃茄醬,290,蕃茄醬
薄鹽醬油,291,薄鹽醬油
薏仁,292,薏仁
薑,293,薑
蘆筍,294,蘆筍
蘋果,295,蘋果
蘑菇,296,蘑菇
蘿蔔,297,蘿蔔
虱目魚,298,虱目魚
蚵仔,299,蚵仔
蛋,300,蛋
蛋液,301,蛋液
蛋白,302,蛋白
蛋豆腐,303,蛋豆腐
蛋黃,304,蛋黃
蛤蠣,305,蛤蠣
蜂蜜,306,蜂蜜
蝦,307,蝦
蝦子,308,蝦子
蝦米,309,蝦米
蟳味棒,310,蟳味棒
蟹,311,蟹
蟹肉,312,蟹肉
蠔油,313,蠔油
西芹,314,西芹
調味料,315,調味料
豆乾,316,豆乾
豆包,317,豆包
豆干,318,豆干
豆皮,319,豆皮
豆腐,320,豆腐
豆芽,321,豆芽
豆薯,322,豆薯
豆豉,323,豆豉
豆輪,324,豆輪
豆酥,325,豆酥
豌豆,326,豌豆
豌豆夾,327,豌豆夾
豬,328,豬
豬五花肉,329,豬五花肉
豬大腸,330,豬大腸
豬大骨,331,豬大骨
豬尾,332,豬尾
豬尾冬骨,333,豬尾冬骨
豬心,334,豬心
豬板油,335,豬板油
豬皮,336,豬皮
豬耳朵,337,豬耳朵
豬肉,338,豬肉
豬肋排,339,豬肋排
豬肚,340,豬肚
豬肝,341,豬肝
豬腳,342,豬腳
豬舌,343,豬舌
豬血,344,豬血
豬里肌,345,豬里肌
豬頸肉,346,豬頸肉
貢丸,347,貢丸
起士,348,起士
蹄筋,349,蹄筋
辣梅醬,350,辣梅醬
辣椒,351,辣椒
辣豆瓣醬,352,辣豆瓣醬
透抽,353,透抽
酒,354,酒
酒釀,355,酒釀
酸菜,356,酸菜
酸豇豆,357,酸豇豆
醋,358,醋
醬汁,359,醬汁
醬油,360,醬油
醬油膏,361,醬油膏
里肌肉,362,里肌肉
金針,363,金針
金針菇,364,金針菇
銀杏,365,銀杏
銀耳,366,銀耳
銀魚,367,銀魚
鍋巴,368,鍋巴
長年菜,369,長年菜
長糯米,370,長糯米
陳皮,371,陳皮
雞,372,雞
雞心,373,雞心
雞皮,374,雞皮
雞粉,375,雞粉
雞翅,376,雞翅
雞肉,377,雞肉
雞胗,378,雞胗
雞胸,379,雞胸
雞脖子,380,雞脖子
雞腳,381,雞腳
雞腿,382,雞腿
雞蛋,383,雞蛋
雞骨,384,雞骨
雞骨高湯,385,雞骨高湯
雞高湯,386,雞高湯
雪螺,387,雪螺
雪裡紅,388,雪裡紅
青木瓜,389,青木瓜
青椒,390,青椒
青江菜,391,青江菜
青花椰菜,392,青花椰菜
青花菜,393,青花菜
青蒜,394,青蒜
青蔥,395,青蔥
青豆,396,青豆
青辣椒,397,青辣椒
韭菜,398,韭菜
韭黃,399,韭黃
餛飩,400,餛飩
香椿醬,401,香椿醬
香油,402,香油
香米,403,香米
香腸,404,香腸
香菇,405,香菇
香菜,406,香菜
香醇醬油,407,香醇醬油
馬蹄,408,馬蹄
馬鈴薯,409,馬鈴薯
高湯,410,高湯
高麗菜,411,高麗菜
髮菜,412,髮菜
魚,413,魚
魚皮,414,魚皮
魚翅,415,魚翅
魚露,416,魚露
魚頭,417,魚頭
魷魚,418,魷魚
鮭魚,419,鮭魚
鮮奶,420,鮮奶
鮮奶油,421,鮮奶油
鮮美露,422,鮮美露
鮮蚵,423,鮮蚵
鯉魚,424,鯉魚
鯛魚,425,鯛魚
鰱魚,426,鰱魚
鰹魚,427,鰹魚
鰻魚,428,鰻魚
鱈魚,429,鱈魚
鱸魚,430,鱸魚
鳳梨,431,鳳梨
鳳爪,432,鳳爪
鴨,433,鴨
鴨翅,434,鴨翅
鴨肉,435,鴨肉
鴨胸,436,鴨胸
鴨腸,437,鴨腸
鴨血,438,鴨血
鴻喜菇,439,鴻喜菇
鴻禧菇,440,鴻禧菇
鵪鶉蛋,441,鵪鶉蛋
鹹蛋,442,鹹蛋
鹹豬肉,443,鹹豬肉
鹹魚,444,鹹魚
鹽,445,鹽
麥片,446,麥片
麵包粉,447,麵包粉
麵筋,448,麵筋
麵粉,449,麵粉
麵糊,450,麵糊
麵腸,451,麵腸
麻油,452,麻油
麻辣滷汁,453,麻辣滷汁
黃地瓜,454,黃地瓜
黃椒,455,黃椒
黃甜椒,456,黃甜椒
黃耆,457,黃耆
黃肉地瓜,458,黃肉地瓜
黃蓍,459,黃蓍
黃豆,460,黃豆
黃豆芽,461,黃豆芽
黃魚,462,黃魚
黑木耳,463,黑木耳
黑棗,464,黑棗
黑糖,465,黑糖
黑胡椒,466,黑胡椒
黑芝麻,467,黑芝麻
黑豆,468,黑豆
黑豆干,469,黑豆干
黑麻油,470,黑麻油
黨蔘,471,黨蔘
龍珠,472,龍珠
